Season,TeamName,BoxscoreIndex
2011,Los Angeles Lakers,201010310LAL
2011,Los Angeles Lakers,201011020LAL
2011,Los Angeles Lakers,201011030SAC
2011,Los Angeles Lakers,201011050LAL
2011,Los Angeles Lakers,201011070LAL
2011,Los Angeles Lakers,201011090LAL
2011,Los Angeles Lakers,201011110DEN
2011,Los Angeles Lakers,201011140LAL
2011,Los Angeles Lakers,201011160MIL
2011,Los Angeles Lakers,201011170DET
2011,Los Angeles Lakers,201011190MIN
2011,Los Angeles Lakers,201011210LAL
2011,Los Angeles Lakers,201011230LAL
2011,Los Angeles Lakers,201011260UTA
2011,Los Angeles Lakers,201011280LAL
2011,Los Angeles Lakers,201011300MEM
2011,Los Angeles Lakers,201012010HOU
2011,Los Angeles Lakers,201012030LAL
2011,Los Angeles Lakers,201012070LAL
2011,Los Angeles Lakers,201012080LAC
2011,Los Angeles Lakers,201012100CHI
